source,target,APlevel,value,clusterId,sourcefilename,targetfilename,clustersize,sourceTopWords,targetTopWords
doc197,e173,2,-1,6,00239.txt,00173.txt,172,'named;said;company;bart''s;board',st.;credit;box;battle;mountain
doc198,e173,2,-1,6,02130.txt,00173.txt,133,chrysler;said;ford;salaried;employees,p.m.;introduction;pan;asean;remarks
doc199,e173,2,-1,6,02321.txt,00173.txt,45,fell;stock;technology;cents;nasdaq,family;ife;vastcomm;true;comsat
doc2,e13,2,-1,0,00024.txt,00013.txt,133,president;said;retailer;mr.;chief,p.m.;introduction;pan;asean;remarks
doc20,e50,2,-1,7,03527.txt,00050.txt,197,politics;editor;able;net;candidates,a.m.;united;copper;72;states
doc200,e173,2,-1,6,01811.txt,00173.txt,45,cents;stock;said;second;share.,family;ife;vastcomm;true;comsat
doc201,e173,2,-1,6,03974.txt,00173.txt,21,analysts;sales;says;outback;mr.,salmon;red;air;ball;tide
doc202,e173,2,-1,6,03932.txt,00173.txt,169,said;amnesty;khmer;king;mr.,blue;mfs;ladonna;juvenile;mose
doc203,e173,2,-1,6,03040.txt,00173.txt,172,funds;said;mutual-fund;agf;offer,st.;credit;box;battle;mountain
doc204,e173,2,-1,6,01781.txt,00173.txt,197,accustaff;stock;billion.;career;based,a.m.;united;copper;72;states
doc205,e173,2,-1,6,04341.txt,00173.txt,22,stock;market;portfolio;u.s.;stocks,million;cattle;u.s.;gruma;pence
doc206,e173,2,-1,6,00288.txt,00173.txt,197,silvey.;open;karina;billingsley;u.s.,a.m.;united;copper;72;states
doc207,e173,2,-1,6,04112.txt,00173.txt,197,20;cents;taiwan;bank;commercial,a.m.;united;copper;72;states
doc208,e173,2,-1,6,04423.txt,00173.txt,197,traffic;said;burlington;income;net,a.m.;united;copper;72;states
doc209,e173,2,-1,6,04469.txt,00173.txt,172,new;million;said;international;carlyle,st.;credit;box;battle;mountain
doc21,e50,2,-1,7,00905.txt,00050.txt,197,'wheat;bushels;expected;barley;canada''s',a.m.;united;copper;72;states
doc210,e173,2,-1,6,04086.txt,00173.txt,23,new;said;dollar;u.s.;currency,satellite;inflation;bank;cut;industry
doc211,e173,2,-1,6,04133.txt,00173.txt,133,really;tv;sitcom;mr.;shows,p.m.;introduction;pan;asean;remarks
doc212,e173,2,-1,6,03906.txt,00173.txt,133,'market;intel''s;intel;mr.;china',p.m.;introduction;pan;asean;remarks
doc213,e173,2,-1,6,03021.txt,00173.txt,45,share;cents;income;net;share.,family;ife;vastcomm;true;comsat
doc214,e383,2,-1,8,01155.txt,00383.txt,22,european;markets;says;stocks;central,million;cattle;u.s.;gruma;pence
doc215,e383,2,-1,8,03725.txt,00383.txt,172,company;increase;boeing;planes;production,st.;credit;box;battle;mountain
doc216,e383,2,-1,8,00540.txt,00383.txt,172,'hong;china''s;says;kong''s;kong',st.;credit;box;battle;mountain
doc217,e383,2,-1,8,02049.txt,00383.txt,197,financial;rose;taiwan;international;2011,a.m.;united;copper;72;states
doc218,e383,2,-1,8,01225.txt,00383.txt,4,burger;million;way;ms.;cousins,silver;burger;king;hsn;mr.
doc219,e383,2,-1,8,00471.txt,00383.txt,45,cents;said;comsat;company;share,family;ife;vastcomm;true;comsat
doc22,e50,2,-1,7,02261.txt,00050.txt,172,'analysts;campbell''s;cents;share;million',st.;credit;box;battle;mountain
doc220,e383,2,-1,8,04257.txt,00383.txt,25,lloyd;damico;1;r;key,c;loaiza;car;louis;atlanta
doc221,e383,2,-1,8,02689.txt,00383.txt,172,new;employment;said;contract;union,st.;credit;box;battle;mountain
doc222,e383,2,-1,8,03689.txt,00383.txt,133,new;employment;increase;boeing;production,p.m.;introduction;pan;asean;remarks
doc223,e383,2,-1,8,00018.txt,00383.txt,197,equifax;regional;montgomery;areas;loan,a.m.;united;copper;72;states
doc224,e383,2,-1,8,02734.txt,00383.txt,169,codi;nemeth;money;derryberry;15%,blue;mfs;ladonna;juvenile;mose
doc225,e383,2,-1,8,01170.txt,00383.txt,23,said;rate;bundesbank;german;central,satellite;inflation;bank;cut;industry
doc226,e383,2,-1,8,03003.txt,00383.txt,169,new;lori;easley;davina;freshman,blue;mfs;ladonna;juvenile;mose
doc227,e173,2,-1,6,04029.txt,00173.txt,172,stock;cents;april;customer;million,st.;credit;box;battle;mountain
doc228,e383,2,-1,8,02652.txt,00383.txt,197,telecommunications;deutsche;communications;german;bank,a.m.;united;copper;72;states
doc229,e173,2,-1,6,03895.txt,00173.txt,169,new;shirts;blue;french;shirt,blue;mfs;ladonna;juvenile;mose
doc23,e50,2,-1,7,03522.txt,00050.txt,133,games;italian;said.;2011;banned,p.m.;introduction;pan;asean;remarks
doc230,e173,2,-1,6,02064.txt,00173.txt,45,medcath;stock;hospital;mr.;managed-care,family;ife;vastcomm;true;comsat
doc231,e173,2,-1,6,00287.txt,00173.txt,172,million;united;said;order;carrier,st.;credit;box;battle;mountain
doc232,e780,2,-1,9,03349.txt,00780.txt,5,'company''s;strong;gains;volume;coca-cola','coca-cola;israel''s;latham;said;volume'
doc233,e780,2,-1,9,01400.txt,00780.txt,169,boley;acquittals;jury;whitewater;mr.,blue;mfs;ladonna;juvenile;mose
